cleaned_text,sentiment
my dentist appt today was actually quite enjoyable .,1
i hate the effing dentist .,0
@stevemoakler i had a dentist appt this morning and had the same conversation !,1
@kirstiealley i hate going to the dentist .. ! ! !,0
i hate the dentist .... who invented them anyways ?,0
this dentist 's office is cold :/,0
check this video out -- david after dentist http://bit.ly/47aw2,1
first dentist appointment [ in years ] on wednesday possibly .,1
tom shanahan 's latest column on sdsu and its ncaa baseball regional appearance : http://ow.ly/axhu,1
baseballamerica.com : blog : baseball america prospects blog ? blog ... http://bit.ly/ett8a,1
portland city politics may undo baseball park http://tinyurl.com/lpjquj,1
"rt @watersisweb : ca merced 's water bottled by safeway , resold at a profit : wells are drying up across the county http://tinyurl.com/mb573s",1
dropped her broccoli walking home from safeway ! ; ( so depressed,1
@ronjon we do n't have safeway .,1
just applied at safeway ! (: yeeeee !,1
@ safeway . place is a nightmare right now . bumming .,0
at safeway with dad,1
"hate safeway select green tea icecream ! bought two cartons , what a waste of money .   & gt;_&lt ;",0
"safeway with marvin , janelle , and auntie lhu",1
safeway offering mobile coupons http://bit.ly/onh7w,1
"phillies driving in the cadillac with the top down in cali , win 5 - 3 - http://tinyurl.com/nzcjqa",1
saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town .,1
"lounging around , eating taco bell and watching ncis before work tonight . need help staying awake .",1
eating breakfast and then school,1
still hungry after eating ....,1
10 tips for healthy eating ? resultsby fitness blog : : fitness ... http://bit.ly/62gfn,1
"with the boyfriend , eating a quesadilla",1
"eating dinner . meat , chips , and risotto .",1
got a new pair of nike shoes . pics up later,1
"nike sb blazer high "" acg "" custom - brad douglas - http://timesurl.at/45a448",1
nike rocks . i 'm super grateful for what i 've done with them :) & amp ; the european division of nike is beyond ! @whitstyles @muchasmuertes,1
nike air yeezy khaki / pink colorway release - http://shar.es/bjfn,1
@evelynbyrne have you tried nike   ? v. addictive .,1
@erickoston that looks an awful lot like one of nike 's private jets .... i'm just sayin ....,1
the nike training club ( beta ) iphone app looks very interesting .,1
argghhhh why wo n't   my jquery appear in safari bad safari ! ! !,0
devsnippets : jquery tools - javascript ui components for the web ... http://inblogs.org/go/hfuqt,1
"all about ajax , jquery , css , javascript and more ... ( many examples ) http://ajaxian.com/",1
"i 'm ready to drop the pretenses , i am forever in love with jquery , and i want to marry it . sorry ladies , this nerd is jquery.spokenfor.js",1
"this is cold .. i was looking at google 's chart//visualization api and found this jquery "" wrapper "" for the api ...   http://tinyurl.com/mq52bq",1
i spent most of my day reading a jquery book . now to start drinking some delirium tremens .,1
jquery selectors http://codylindley.com/jqueryselectors/,1
how to implement a news ticker with jquery and ten lines of code http://bit.ly/cznfj,1
what 's buffet doing ? warren buffett kicks butt in battle of the boots : posted by : alex crippe .. http://bit.ly/auizo,1
"super investors : a great weekend read here from warren buffet . oldie , but a goodie . http://tinyurl.com/oqxgga",1
i 'm truly braindead .   i could n't come up with warren buffet 's name to save my soul,1
"reading michael palin book , the python years ... great book . i also recommend warren buffet & amp ; nelson mandela 's bio",1
"i mean , i 'm down with notre dame if i have to .   it 's a good school , i 'd be closer to dan , i 'd enjoy it .",1
"i ca n't watch tv without a tivo .   and after all these years , the time / warner dvr   still sucks . http://www.davehitt.com/march03/twdvr.html",0
i 'd say some sports writers are idiots for saying roger federer is one of the best ever in tennis .   roger federer is the best ever in tennis,1
i still love my kindle2 but reading the new york times on it does not feel natural . i miss the bloomingdale ads .,0
i love my kindle2 . no more stacks of books to trip over on the way to the loo .,1
"although today 's keynote rocked , for every great announcement , at&amp;t shit on us just a little bit more .",0
"@sheridanmarfil - its not so much my obsession with cell phones , but the iphone !   i 'm a slave to at&amp;t forever because of it . :)",0
@freitasm oh i see . i thought at&amp;t were 900mhz wcdma ?,1
@plip where did you read about tethering support phil ?   just at&amp;t or will o2 be joining in ?,1
fuzzball is more fun than at&amp;t ; p http://fuzz-ball.com/twitter,0
"today is a good day to dislike at&amp;t . vote out of office indeed , @danielpunkass",0
got my wave sandbox invite ! extra excited ! too bad i have class now ... but i 'll play with it soon enough ! # io2009 # wave,1
looks like summize has gone down . too many tweets from wwdc perhaps ?,0
i hope the girl at work   buys my kindle2,1
missed this insight - filled may column : one smart guy looking closely at why he 's impressed with kindle2 http://bit.ly/i0pey @wroush,1
"@sklososky thanks so much ! ! ! ... from one of your * very * happy kindle2 winners ; ) i was so surprised , fabulous . thank you ! best , kathleen",1
man i kinda dislike apple right now . case in point : the iphone 3gs . wish there was a video recorder app . please ? ? http://bit.ly/dzm1 t,0
@cwong08 i have a kindle2 ( & amp ; sony prs-500 ) . like it ! physical device feels good . font is nice . pg turns are snappy enuf . ui a little klunky .,1
"the # kindle2 seems the best ereader , but will it work in the uk and where can i get one ?",1
"i have a google addiction . thank you for pointing that out , @annamartin123 . hahaha .",1
@ruby_gem my primary debit card is visa electron .,1
off to the bank to get my new visa platinum card,1
"dearest @google , you rich bastards ! the visa card you sent me does n't work . why screw a little guy like me ?",0
has a date with bobby flay and gut fieri from food network,1
excited about seeing bobby flay and guy fieri tomorrow at the great american food & amp ; music fest !,1
gon na go see bobby flay 2moro at shoreline . eat and drink . gon na be good .,1
ca n't wait for the great american food and music festival at shoreline tomorrow .   mmm ... katz pastrami and bobby flay . yes please .,1
"my dad was in ny for a day , we ate at mesa grill last night and met bobby flay . so much fun , except i completely lost my voice today .",1
fighting with latex . again ...,0
@iheartseverus we love you too and do n't want you to die ! ! ! ! ! !   latex = the devil,0
"7 hours . 7 hours of inkscape crashing , normally solid as a rock . 7 hours of latex complaining at the slightest thing . i ca n't take any more .",0
how to track iran with social media : http://bit.ly/2boqu,1
shit 's hitting the fan in iran ... craziness indeed # iranelection,0
monday already . iran may implode . kitchen is a disaster . @annagoss seems happy . @sebulous had a nice weekend and @goldpanda is great . whoop .,0
twitter stock buzz : $ aapl $ es_f $ spy $ spx $ palm   ( updated : 12:00 pm ),1
getting ready to test out some burger receipes this weekend . bobby flay has some great receipes to try . thanks bobby .,1
@johncmayer is bobby flay joining you ?,1
i lam so in love with bobby flay ... he is my favorite . rt @terrysimpson : @bflay you need a place in phoenix . we have great peppers here !,1
"i just created my first latex file from scratch . that did n't work out very well . ( see @amandabittner , it 's a great time waster )",0
using linux and loving it - so much nicer than windows ... looking forward to using the wysiwyg latex editor !,1
"after using latex a lot , any other typeset mathematics just looks hideous .",1
ask programming : latex or indesign ? : submitted by calcio1 [ link ] [ 1 comment ] http://tinyurl.com/myfmf7,1
"on that note , i hate word . i hate pages . i hate latex . there , i said it . i hate latex . all you texn3rds can come kill me now .",0
ahhh ... back in a * real * text editing environment . i & lt;3 latex .,1
"trouble in iran , i see . hmm . iran . iran so far away . # flockofseagullsweregeopoliticallycorrect",0
reading the tweets coming out of iran ... the whole thing is terrifying and incredibly sad ...,0
